
digestive biscuits, 175g/6oz
Lemon, Grated * garnish * Juice of 1
Sugar, 75g * garnish * 1 tsp  * 250g
Lemon Juice, 1 tbs
Double Cream, 300ml 
Yogurt, 100ml
Mint, Garnish with
Self-raising Flour, 140g
Almonds, 50g
Almond Extract, ¼ teaspoon
Pink Food Colouring, ½ tsp
Apricot, 200g
Marzipan, 1kg
Icing Sugar, Dusting * sprinking
Goose Fat, 3 tsp
Beef Shin, 600g
Challots, 350g
Chestnut Mushroom, 250g
Garlic Clove, 2 sliced * 2 chopped * Minced
Bouquet Garni, 1
Tomato Puree, 1 tbs
Celeriac, 600g
Cardamom, 4
Yeast, 7g * 2 parts 
Milk, 75g * 1/2 cup 
Brie, 250g
Prosciutto, 8 slices
Chicken, 1 whole
Tomato, 1 chopped
Red Pepper, 1 chopped
Lime, 1
Allspice, 1 tsp  * To taste
Soy Sauce, 2 tbs * 1 tsp 
Cornstarch, 2 tsp
Coconut Milk, 2 cups 
Vegetable Oil, 1 tbs
Sesame Seed Oil, 2 tsp
Egg, 1/2 
Starch, 3 tbs
Noodles, 1/4 lb
Minced Garlic, 1 tsp 
Ginger, 1 tsp 
Bean Sprouts, 1 cup 
Oyster Sauce, 1 tbs
Fennel, 2 medium
Cherry Tomatoes, 175g
Salmon, 350g
Black Olives, to serve
Ricotta, 500g
Lemons, Grated Zest of 2
Dark Rum, 5 tbs
Maple Syrup, 1 tbs
Nutmeg, Pinch
Breadcrumbs, 50g
